Ep    100/50000 | avg:    16.6  min:     3.5  max:    53.0 | len:    17 | actor loss:  33.5633 | critic loss:  33.5633 | σ: [0.972, 0.983, 0.975] | best: -inf | elapsed: 00:00:03  (508 steps/s)
Ep   7700/50000 | avg:    61.4  min:     4.9  max:   116.8 | len:    58 | actor loss: 112.9767 | critic loss: 112.9767 | σ: [0.919, 1.038, 0.977] | best: 128.3 | elapsed: 00:07:18  (816 steps/s)
Ep   7800/50000 | avg:    59.7  min:     5.6  max:   114.5 | len:    54 | actor loss: 111.5672 | critic loss: 111.5672 | σ: [0.917, 1.040, 0.984] | best: 128.3 | elapsed: 00:07:26  (655 steps/s)
Ep   7900/50000 | avg:    56.2  min:     5.2  max:   104.6 | len:    50 | actor loss: 104.3298 | critic loss: 104.3298 | σ: [0.905, 1.031, 0.984] | best: 128.3 | elapsed: 00:07:32  (822 steps/s)
Ep   8000/50000 | avg:    60.6  min:     3.6  max:   154.6 | len:    57 | actor loss: 106.0320 | critic loss: 106.0320 | σ: [0.904, 1.026, 0.971] | best: 128.3 | elapsed: 00:07:41  (642 steps/s)
Ep   8100/50000 | avg:    57.9  min:     4.4  max:   214.7 | len:    57 | actor loss: 102.5288 | critic loss: 102.5288 | σ: [0.903, 1.030, 0.968] | best: 128.3 | elapsed: 00:07:48  (823 steps/s)
Ep   8200/50000 | avg:   117.9  min:     2.8  max:   655.9 | len:   163 | actor loss: 122.1086 | critic loss: 122.1086 | σ: [0.911, 1.028, 0.962] | best: 128.3 | elapsed: 00:08:11  (718 steps/s)
Ep   8300/50000 | avg:   109.3  min:     3.9  max:   396.3 | len:   158 | actor loss: 116.7939 | critic loss: 116.7939 | σ: [0.910, 1.029, 0.968] | best: 128.3 | elapsed: 00:08:31  (778 steps/s)
Ep   8400/50000 | avg:    83.1  min:     5.2  max:   282.2 | len:   106 | actor loss: 117.2166 | critic loss: 117.2166 | σ: [0.904, 1.029, 0.968] | best: 128.3 | elapsed: 00:08:45  (741 steps/s)
Ep   8500/50000 | avg:    56.8  min:     4.9  max:   163.5 | len:    57 | actor loss: 106.6269 | critic loss: 106.6269 | σ: [0.904, 1.028, 0.971] | best: 128.3 | elapsed: 00:08:53  (697 steps/s)
Ep   8600/50000 | avg:    49.5  min:    11.3  max:    97.1 | len:    45 | actor loss:  98.9821 | critic loss:  98.9821 | σ: [0.906, 1.014, 0.973] | best: 128.3 | elapsed: 00:09:00  (712 steps/s)
Ep   8700/50000 | avg:    45.6  min:    10.6  max:    87.9 | len:    40 | actor loss:  94.7230 | critic loss:  94.7230 | σ: [0.905, 1.022, 0.972] | best: 128.3 | elapsed: 00:09:05  (815 steps/s)
Ep   8800/50000 | avg:    46.6  min:    10.0  max:    71.1 | len:    40 | actor loss:  97.1187 | critic loss:  97.1187 | σ: [0.904, 1.016, 0.980] | best: 128.3 | elapsed: 00:09:11  (609 steps/s)
Ep   8900/50000 | avg:    48.4  min:    10.8  max:    61.8 | len:    49 | actor loss:  91.7940 | critic loss:  91.7940 | σ: [0.903, 1.003, 0.970] | best: 128.3 | elapsed: 00:09:17  (818 steps/s)
Ep   9000/50000 | avg:    53.2  min:    16.2  max:    78.0 | len:    58 | actor loss:  97.5174 | critic loss:  97.5174 | σ: [0.901, 1.008, 0.955] | best: 128.3 | elapsed: 00:09:26  (662 steps/s)
Ep   9100/50000 | avg:    53.5  min:    43.7  max:    84.9 | len:    61 | actor loss:  97.2454 | critic loss:  97.2454 | σ: [0.897, 1.009, 0.962] | best: 128.3 | elapsed: 00:09:33  (828 steps/s)
Ep   9200/50000 | avg:    48.7  min:    40.6  max:    63.7 | len:    54 | actor loss:  92.8518 | critic loss:  92.8518 | σ: [0.892, 1.002, 0.974] | best: 128.3 | elapsed: 00:09:42  (653 steps/s)
Ep   9300/50000 | avg:    43.3  min:    39.0  max:    53.1 | len:    47 | actor loss:  88.1015 | critic loss:  88.1015 | σ: [0.889, 1.006, 0.962] | best: 128.3 | elapsed: 00:09:49  (654 steps/s)
Ep   9400/50000 | avg:    41.7  min:    38.3  max:    45.8 | len:    44 | actor loss:  87.3864 | critic loss:  87.3864 | σ: [0.894, 1.009, 0.963] | best: 128.3 | elapsed: 00:09:57  (531 steps/s)
Ep   9500/50000 | avg:    42.5  min:    38.1  max:    50.0 | len:    46 | actor loss:  87.8159 | critic loss:  87.8159 | σ: [0.887, 1.002, 0.962] | best: 128.3 | elapsed: 00:10:03  (806 steps/s)
Ep   9600/50000 | avg:    44.4  min:    39.3  max:    48.3 | len:    46 | actor loss:  92.2855 | critic loss:  92.2855 | σ: [0.896, 0.995, 0.972] | best: 128.3 | elapsed: 00:10:09  (728 steps/s)
Ep   9700/50000 | avg:    46.5  min:    42.7  max:    49.9 | len:    46 | actor loss:  97.0814 | critic loss:  97.0814 | σ: [0.910, 0.997, 0.963] | best: 128.3 | elapsed: 00:10:16  (698 steps/s)
Ep   9800/50000 | avg:    47.9  min:    45.2  max:    52.2 | len:    46 | actor loss: 100.6106 | critic loss: 100.6106 | σ: [0.907, 0.999, 0.964] | best: 128.3 | elapsed: 00:10:21  (799 steps/s)
Ep   9900/50000 | avg:    49.2  min:    12.6  max:    52.5 | len:    45 | actor loss: 103.6087 | critic loss: 103.6087 | σ: [0.901, 0.994, 0.966] | best: 128.3 | elapsed: 00:10:29  (624 steps/s)
Ep  10000/50000 | avg:    49.4  min:    44.9  max:    54.1 | len:    44 | actor loss: 105.2435 | critic loss: 105.2435 | σ: [0.903, 1.001, 0.958] | best: 128.3 | elapsed: 00:10:34  (806 steps/s)
Ep  10100/50000 | avg:    45.5  min:    41.7  max:    52.1 | len:    45 | actor loss:  98.2931 | critic loss:  98.2931 | σ: [0.908, 1.012, 0.955] | best: 128.3 | elapsed: 00:10:41  (662 steps/s)
Ep  10200/50000 | avg:    44.4  min:    40.8  max:    75.3 | len:    46 | actor loss:  96.4170 | critic loss:  96.4170 | σ: [0.915, 1.014, 0.971] | best: 128.3 | elapsed: 00:10:47  (741 steps/s)
Ep  10300/50000 | avg:    46.5  min:    43.5  max:    49.6 | len:    45 | actor loss:  97.8134 | critic loss:  97.8134 | σ: [0.906, 1.012, 0.967] | best: 128.3 | elapsed: 00:10:53  (782 steps/s)
Ep  10400/50000 | avg:    44.9  min:    23.0  max:    84.1 | len:    40 | actor loss:  94.9375 | critic loss:  94.9375 | σ: [0.909, 1.012, 0.975] | best: 128.3 | elapsed: 00:10:59  (622 steps/s)
Ep  10500/50000 | avg:    42.2  min:    11.4  max:    71.0 | len:    32 | actor loss:  91.2915 | critic loss:  91.2915 | σ: [0.906, 1.020, 0.965] | best: 128.3 | elapsed: 00:11:03  (814 steps/s)
Ep  10600/50000 | avg:    42.1  min:     9.6  max:    79.2 | len:    32 | actor loss:  84.9893 | critic loss:  84.9893 | σ: [0.912, 1.017, 0.956] | best: 128.3 | elapsed: 00:11:07  (813 steps/s)
Ep  10700/50000 | avg:    42.6  min:    10.6  max:    81.2 | len:    32 | actor loss:  88.7913 | critic loss:  88.7913 | σ: [0.914, 1.011, 0.951] | best: 128.3 | elapsed: 00:11:13  (570 steps/s)
Ep  10800/50000 | avg:    39.7  min:    10.5  max:    83.5 | len:    31 | actor loss:  83.9628 | critic loss:  83.9628 | σ: [0.915, 0.999, 0.956] | best: 128.3 | elapsed: 00:11:17  (816 steps/s)
Ep  10900/50000 | avg:    32.0  min:     8.2  max:    70.3 | len:    26 | actor loss:  68.7287 | critic loss:  68.7287 | σ: [0.914, 0.996, 0.957] | best: 128.3 | elapsed: 00:11:20  (766 steps/s)
Ep  11000/50000 | avg:    31.9  min:     9.5  max:    56.7 | len:    25 | actor loss:  67.2026 | critic loss:  67.2026 | σ: [0.925, 1.001, 0.953] | best: 128.3 | elapsed: 00:11:23  (728 steps/s)
Ep  11100/50000 | avg:    33.7  min:    13.9  max:    42.4 | len:    23 | actor loss:  75.9334 | critic loss:  75.9334 | σ: [0.926, 1.012, 0.951] | best: 128.3 | elapsed: 00:11:28  (540 steps/s)
Ep  11200/50000 | avg:    36.0  min:    22.2  max:    42.7 | len:    26 | actor loss:  75.3278 | critic loss:  75.3278 | σ: [0.920, 1.015, 0.952] | best: 128.3 | elapsed: 00:11:31  (777 steps/s)
Ep  11300/50000 | avg:    37.6  min:    31.7  max:    44.3 | len:    28 | actor loss:  72.4975 | critic loss:  72.4975 | σ: [0.921, 1.008, 0.962] | best: 128.3 | elapsed: 00:11:35  (806 steps/s)
Ep  11400/50000 | avg:    37.1  min:    31.9  max:    43.7 | len:    28 | actor loss:  72.2374 | critic loss:  72.2374 | σ: [0.928, 1.006, 0.960] | best: 128.3 | elapsed: 00:11:38  (743 steps/s)
Ep  11500/50000 | avg:    34.5  min:    12.6  max:    42.6 | len:    25 | actor loss:  74.2704 | critic loss:  74.2704 | σ: [0.923, 1.007, 0.965] | best: 128.3 | elapsed: 00:11:43  (547 steps/s)
Ep  11600/50000 | avg:    34.7  min:    12.3  max:    61.4 | len:    24 | actor loss:  75.6094 | critic loss:  75.6094 | σ: [0.927, 0.990, 0.956] | best: 128.3 | elapsed: 00:11:46  (797 steps/s)
Ep  11700/50000 | avg:    36.2  min:    21.6  max:    42.4 | len:    25 | actor loss:  78.3210 | critic loss:  78.3210 | σ: [0.935, 0.997, 0.959] | best: 128.3 | elapsed: 00:11:49  (782 steps/s)
Ep  11800/50000 | avg:    36.2  min:    13.6  max:    56.9 | len:    25 | actor loss:  76.0039 | critic loss:  76.0039 | σ: [0.925, 0.996, 0.957] | best: 128.3 | elapsed: 00:11:52  (788 steps/s)
Ep  11900/50000 | avg:    36.8  min:    14.6  max:    43.8 | len:    26 | actor loss:  76.9765 | critic loss:  76.9765 | σ: [0.934, 0.998, 0.953] | best: 128.3 | elapsed: 00:11:57  (581 steps/s)
